Transcript	Gene
NM_000044.6	AR
NM_006015.6	ARID1A
NM_015338.6	ASXL1
NM_000489.6	ATRX
NM_001123385.2	BCOR
NM_004333.6	BRAF
NM_007294.4	BRCA1
NM_000059.4	BRCA2
NM_004343.4	CALR
NM_005188.4	CBL
NM_000077.5	CDKN2A
NM_004364.5	CEBPA
NM_153759.3	DNMT3A
NM_022552.5	DNMT3A
NM_005228.5	EGFR
NM_004448.4	ERBB2
NM_000125.4	ESR1
NM_001987.5	ETV6
NM_004456.5	EZH2
NM_023110.3	FGFR1
NM_000141.5	FGFR2
NM_000142.5	FGFR3
NM_004119.3	FLT3
NM_032638.5	GATA2
NM_002107.7	H3-3A
NM_005343.4	HRAS
NM_005896.4	IDH1
NM_002168.4	IDH2
NM_004972.4	JAK2
NM_000222.3	KIT
NM_004985.5	KRAS
NM_005373.3	MPL
NM_017617.5	NOTCH1
NM_002520.7	NPM1
NM_002524.5	NRAS
NM_006206.6	PDGFRA
NM_006218.4	PIK3CA
NM_006231.4	POLE
NM_000314.8	PTEN
NM_020975.6	RET
NM_01664.4	RHOA
NM_001754.5	RUNX1
NM_001122607.2	RUNX1
NM_015559.3	SETBP1
NM_012433.4	SF3B1
NM_001195427.2	SRSF2
NM_198253.3	TERT
NM_001127208.3	TET2
NM_000546.6	TP53
NM_006758.3	U2AF1
